iter	Passed	Remaining
444	1699	2119
445	1701	2113
446	1703	2107
447	1705	2101
448	1707	2095
449	1709	2089
450	1711	2083
451	1714	2079
452	1716	2072
453	1717	2065
454	1719	2059
455	1720	2053
456	1722	2046
457	1730	2048
458	1732	2041
459	1733	2035
460	1736	2029
461	1738	2024
462	1741	2019
463	1743	2014
464	1745	2008
465	1747	2002
466	1749	1996
467	1750	1990
468	1752	1984
469	1761	1986
470	1763	1980
471	1764	1974
472	1766	1967
473	1767	1961
474	1773	1960
475	1774	1953
476	1776	1947
477	1777	1941
478	1779	1935
479	1780	1929
480	1782	1923
481	1786	1920
482	1788	1914
483	1790	1908
484	1791	1902
485	1793	1896
486	1794	1890
487	1796	1884
488	1797	1878
489	1804	1877
490	1806	1872
491	1807	1866
492	1809	1860
493	1811	1855
494	1812	1849
495	1819	1848
496	1820	1842
497	1822	1836
498	1823	1831
499	1825	1825
500	1828	1821
501	1832	1817
502	1834	1813
503	1837	1808
504	1839	1802
505	1840	1797
506	1842	1791
507	1844	1786
508	1845	1780
509	1847	1774
510	1850	1770
511	1851	1765
512	1853	1759
513	1855	1754
514	1856	1748
515	1858	1742
516	1859	1737
517	1861	1732
518	1866	1729
519	1867	1723
520	1868	1718
521	1870	1712
522	1871	1707
523	1873	1701
524	1875	1696
525	1877	1691
526	1885	1692
527	1887	1687
528	1888	1681
529	1890	1676
530	1891	1670
531	1896	1668
532	1899	1663
533	1900	1658
534	1902	1653
535	1904	1648
536	1905	1643
537	1907	1638
538	1909	1633
539	1911	1628
540	1912	1622
541	1914	1617
542	1915	1612
543	1917	1607
544	1918	1601
545	1920	1596
546	1923	1592
547	1927	1589
548	1928	1584
549	1930	1579
550	1931	1574
551	1933	1569
552	1935	1564
553	1939	1561
554	1942	1557
555	1944	1552
556	1946	1547
557	1947	1542
558	1949	1537
559	1950	1532
560	1965	1537
561	1966	1532
562	1990	1544
563	1991	1539
564	1993	1534
565	1995	1529
566	1997	1525
567	1999	1521
568	2003	1517
569	2005	1512
570	2007	1507
571	2008	1502
572	2009	1497
573	2011	1492
574	2013	1488
575	2016	1484
576	2017	1479
577	2019	1474
578	2020	1469
579	2022	1464
580	2024	1459
581	2025	1455
582	2027	1450
583	2028	1445
584	2030	1440
585	2031	1435
586	2034	1431
587	2042	1431
588	2044	1426
589	2045	1421
590	2047	1416
591	2048	1412
592	2050	1407
593	2053	1403
594	2055	1399
595	2057	1394
596	2059	1390
597	2060	1385
598	2062	1380
599	2065	1376
600	2070	1374
601	2071	1369
602	2073	1364
603	2074	1360
604	2076	1355
605	2080	1352
606	2083	1349
607	2086	1344
608	2087	1340
609	2089	1335
610	2091	1331
611	2092	1326
612	2094	1322
613	2102	1321
614	2104	1317
615	2105	1312
616	2107	1308
617	2109	1303
618	2115	1302
619	2117	1297
620	2118	1292
621	2120	1288
622	2121	1283
623	2122	1279
624	2124	1274
625	2127	1270
626	2128	1266
627	2130	1262
628	2132	1257
629	2134	1253
630	2135	1249
631	2137	1244
632	2138	1240
633	2144	1238
634	2147	1234
635	2149	1230
636	2151	1225
637	2153	1221
638	2154	1217
639	2160	1215
640	2162	1210
641	2163	1206
642	2165	1202
643	2166	1197
644	2168	1193
645	2171	1189
646	2174	1186
647	2176	1182
648	2178	1177
649	2180	1173
650	2182	1169
651	2192	1170
652	2194	1165
653	2195	1161
654	2197	1157
655	2199	1153
656	2204	1150
657	2207	1147
658	2209	1143
659	2211	1139
660	2212	1134
661	2214	1130
662	2220	1128
663	2223	1125
664	2224	1120
665	2226	1116
666	2228	1112
667	2230	1108
668	2236	1106
669	2238	1102
670	2239	1098
671	2241	1093
672	2242	1089
673	2244	1085
674	2258	1087
675	2260	1083
676	2263	1080
677	2266	1076
678	2268	1072
679	2270	1068
680	2271	1064
681	2273	1060
682	2275	1055
683	2277	1051
684	2278	1047
685	2280	1044
686	2283	1040
687	2284	1036
688	2286	1031
689	2288	1027
690	2290	1024
691	2295	1021
692	2297	1017
693	2298	1013
694	2300	1009
695	2301	1005
696	2303	1001
697	2305	997
698	2311	995
699	2315	992
700	2316	988
701	2318	984
702	2320	980
703	2326	978
704	2328	974
705	2330	970
706	2332	966
707	2334	962
708	2335	958
709	2340	955
710	2343	952
711	2344	948
712	2346	944
713	2348	940
714	2350	936
715	2353	933
716	2357	930
717	2359	926
718	2360	922
719	2362	918
720	2364	914
721	2369	912
722	2371	908
723	2372	904
724	2374	900
725	2375	896
726	2377	892
727	2379	889
728	2388	887
729	2390	883
730	2391	880
731	2393	876
732	2395	872
733	2406	872
734	2408	868
735	2410	864
736	2413	861
737	2415	857
738	2417	853
739	2419	849
740	2420	846
741	2421	842
742	2423	838
743	2425	834
744	2435	833
745	2437	829
746	2438	825
747	2440	822
748	2441	818
749	2443	814
750	2446	810
751	2448	807
752	2450	803
753	2451	799
754	2453	796
755	2454	792
756	2456	788
757	2462	786
758	2463	782
759	2465	778
760	2467	774
761	2469	771
762	2470	767
763	2480	766
764	2482	762
765	2484	758
766	2486	755
767	2489	751
768	2490	748
769	2492	744
770	2493	740
771	2495	736
772	2496	733
773	2498	729
774	2500	725
775	2507	723
776	2509	720
777	2511	716
778	2512	712
779	2514	709
780	2516	705
781	2529	705
782	2531	701
783	2532	697
784	2536	694
785	2538	691
786	2540	687
787	2543	684
788	2545	680
789	2546	676
790	2568	678
791	2572	675
792	2574	671
793	2575	668
794	2577	664
795	2583	662
796	2585	658
797	2587	654
798	2588	651
799	2590	647
800	2592	644
801	2593	640
802	2595	636
803	2597	633
804	2598	629
805	2600	626
806	2602	622
807	2612	620
808	2615	617
809	2619	614
810	2624	611
811	2628	608
812	2631	605
813	2634	602
814	2636	598
815	2638	594
816	2639	591
817	2641	587
818	2642	584
819	2644	580
820	2646	576
821	2655	575
822	2658	571
823	2660	568
824	2662	564
825	2676	563
826	2679	560
827	2691	559
828	2694	555
829	2699	552
830	2701	549
831	2702	545
832	2704	542
833	2705	538
834	2707	534
835	2709	531
836	2711	528
837	2713	524
838	2715	521
839	2716	517
840	2718	513
841	2719	510
842	2723	507
843	2731	504
844	2733	501
845	2735	497
846	2736	494
847	2738	490
848	2739	487
849	2748	484
850	2749	481
851	2751	477
852	2753	474
853	2755	471
854	2760	468
855	2762	464
856	2763	461
857	2765	457
858	2767	454
859	2768	450
860	2771	447
861	2773	444
862	2775	440
863	2778	437
864	2780	433
865	2782	430
866	2784	427
867	2793	424
868	2795	421
869	2797	418
870	2799	414
871	2802	411
872	2805	408
873	2807	404
874	2809	401
875	2810	397
876	2812	394
877	2814	391
878	2828	389
879	2829	385
880	2857	385
881	2859	382
882	2861	379
883	2868	376
884	2870	372
885	2871	369
886	2873	366
887	2876	362
888	2877	359
889	2886	356
890	2889	353
891	2890	350
892	2892	346
893	2894	343
894	2896	339
895	2899	336
896	2900	333
897	2902	329
898	2903	326
899	2905	322
900	2907	319
901	2914	316
902	2915	313
903	2916	309
904	2918	306
905	2920	302
906	2921	299
907	2924	296
908	2925	292
909	2928	289
910	2930	286
911	2931	282
912	2932	279
913	2934	276
914	2936	272
915	2942	269
916	2943	266
917	2945	263
918	2946	259
919	2948	256
920	2949	253
921	2951	249
922	2959	246
923	2961	243
924	2962	240
925	2964	236
926	2966	233
927	2980	231
928	2981	227
929	2983	224
930	2985	221
931	2988	218
932	2990	214
933	2992	211
934	2994	208
935	2995	204
936	2997	201
937	2999	198
938	3001	194
939	3003	191
940	3004	188
941	3006	185
942	3007	181
943	3009	178
944	3011	175
945	3012	171
946	3022	169
947	3024	165
948	3025	162
949	3027	159
950	3028	156
951	3038	153
952	3039	149
953	3040	146
954	3042	143
955	3044	140
956	3049	137
957	3051	133
958	3052	130
959	3054	127
960	3056	124
961	3057	120
962	3059	117
963	3065	114
964	3067	111
965	3069	108
966	3070	104
967	3072	101
968	3074	98
969	3076	95
970	3079	91
971	3081	88
972	3082	85
973	3084	82
974	3086	79
975	3087	75
976	3093	72
977	3095	69
978	3096	66
979	3098	63
980	3099	60
981	3101	56
982	3102	53
983	3104	50
984	3106	47
985	3108	44
986	3109	40
987	3112	37
988	3129	34
989	3132	31
990	3134	28
991	3136	25
992	3137	22
993	3139	18
994	3140	15
995	3142	12
996	3144	9
997	3153	6
998	3155	3
999	3157	0
